,name,price,address,url,Hãng xe,Năm đăng ký,Tình trạng,Loại xe máy,Dung tích xe máy,Xuất xứ,Màu xe,Dòng xe,Số km đã đi
679,Bán xe Honda Spacy Việt Nam 100cc màu đen,3500000,"Quận Hai Bà Trưng, Hà Nội",https://muaban.net/xe-may/ban-xe-may/ban-xe-honda-spacy-viet-nam-100cc-mau-den-id68766249,Honda,-,Đã sử dụng,Tay ga,-,-,Đen,-,0
680,Bán trả góp Winner X 2019 ABS trả trước 11tr lấy xe,26000000,"Quận Bình Thạnh, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-tra-gop-winner-x-2019-abs-tra-truoc-11tr-lay-xe-id68772075,Honda,2019.0,Đã sử dụng,Tay côn/Moto,101 - 175 cc,-,Đen,Honda khác,0-25km
681,Em cần bán xe CBR 150 phiên bản xanh đen màu sơn 3D siêu đẹp,53000000,"Huyện Định Quán, Đồng Nai",https://muaban.net/xe-may/ban-xe-may/em-can-ban-xe-cbr-150-phien-ban-xanh-den-mau-son-3d-sieu-dep-id68765076,Honda,2022.0,Đã sử dụng,Tay côn/Moto,101 - 175 cc,Nước khác,Xanh đen,Honda khác,0-6km
682,Cần tiền bán gấp chiếc xe Winner,17500000,"Huyện Bình Chánh, TP.HCM",https://muaban.net/xe-may/ban-xe-may/can-tien-ban-gap-chiec-xe-winner-id68780383,Honda,2017.0,Đã sử dụng,Tay côn/Moto,101 - 175 cc,Việt nam,Cam,Win,0-1km
683,"Chính chủ bán xe máy Honda Spacy 125 nhập khẩu, màu trắng, biển Hà Nội",28500000,"Quận Hoàn Kiếm, Hà Nội",https://muaban.net/xe-may/ban-xe-may/chinh-chu-ban-xe-may-honda-spacy-125-nhap-khau-mau-trang-bien-ha-noi-id68770191,Honda,-,Đã sử dụng,Tay ga,101 - 175 cc,-,-,Spacy,0
684,"Bố thắng ( má phanh đĩa ) cho đủ dòng xe.Honda, Ya, Su",1000,"Quận Bình Thạnh, TP.HCM",https://muaban.net/xe-may/phu-tung-xe-may/bo-thang-hang-dep-du-loai-zalo-0913-920-888-id68763264,-,-,-,-,-,-,-,-,0
685,"Bán xe máy cổ hiệu SOLEX, mang từ Pháp về Việt Nam năm 2010",50000000,"Quận Đống Đa, Hà Nội",https://muaban.net/xe-may/ban-xe-may/ban-xe-may-co-hieu-solex-mang-tu-phap-ve-viet-nam-nam-2010-id68775852,Xe các hiệu khác,-,Đã sử dụng,Tay ga,-,-,-,-,0
686,Cần Thanh Lý Dòng Xe Máy Air Blade 2021,18000000,"Quận 5, TP.HCM",https://muaban.net/xe-may/ban-xe-may/can-thanh-ly-dong-xe-may-air-blade-2021-id68664410,Honda,2021.0,Mới,Tay ga,-,Thái Lan,Ghi/Xám,Air Blade,0
687,Bán xe Kawasaki W175 đã qua sử dụng,40000000,"Quận 7, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-xe-kawasaki-w175-da-qua-su-dung-id68764546,Kawasaki,2018.0,Đã sử dụng,Tay côn/Moto,101 - 175 cc,-,Đen,Kawasaki,0-18km
688,"Bán xe Cup 50cc, biển số tứ quý, đăng ký 2022",32000000,"Quận Tân Bình, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-xe-cup-50cc-bien-so-tu-quy-dang-ky-2022-id68772569,Xe các hiệu khác,2022.0,Đã sử dụng,Xe số,50 - 100 cc,-,-,-,0
689,Bán trả góp Wave RSx 2011 trả trước 5tr lấy xe,12500000,"Quận Bình Thạnh, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-tra-gop-wave-rsx-2011-tra-truoc-5tr-lay-xe-id68768440,Honda,2011.0,Đã sử dụng,Xe số,101 - 175 cc,-,Đen,Wave,0-30km
690,HONDA LEAD 125 VÀNG KEM NGUYÊN BẢN BIỂN 29 ĐK 2022,21500000,"Quận Nam Từ Liêm, Hà Nội",https://muaban.net/xe-may/ban-xe-may/honda-lead-125-vang-kem-nguyen-ban-bien-29-dk-2022-id68769018,Honda,2022.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,-,Lead,0-3km
691,Honda WAVE A 110 Xanh tím Xe 2023 Chạy Cực Lướt,11500000,"Quận Nam Từ Liêm, Hà Nội",https://muaban.net/xe-may/ban-xe-may/honda-wave-a-110-xanh-tim-xe-2023-chay-cuc-luot-id68769010,Honda,2023.0,Đã sử dụng,Xe số,101 - 175 cc,Việt nam,Xanh dương,Wave,0-6km
692,"Moto Rebel 125 như hình, giấy tờ đầy đủ,xe đẹp zin, máy êm, giá 29,5tr",28500000,"Quận Tân Phú, TP.HCM",https://muaban.net/xe-may/ban-xe-may/moto-rebel-125-nhu-hinh-giay-to-day-du-xe-dep-zin-may-em-gia-29-5tr-id68644689,Honda,2010.0,Đã sử dụng,Tay côn/Moto,101 - 175 cc,Ấn Độ,Đen,Rebel,0-20km
693,PIAGGIO LIBERTY 125IR TRẮNG GIÁO VIÊN BIỂN 29 2018,7800000,"Quận Nam Từ Liêm, Hà Nội",https://muaban.net/xe-may/ban-xe-may/piaggio-liberty-125ir-trang-giao-vien-bien-29-2018-id68769029,Piaggio,2018.0,Đã sử dụng,Tay ga,-,Việt nam,Trắng,Liberty,0-650km
694,"Cho thuê xe máy - giao tận nơi sân bay, khách sạn",50000,"Quận Tân Bình, TP.HCM",https://muaban.net/xe-may/cho-thue-xe-may/cho-thue-xe-may-giao-tan-noi-san-bay-khach-san-id68766758,-,-,-,-,-,-,-,-,0
695,"Bán xe máy AB đời 2013, biển số Q1, giá 20tr",20000000,"Quận 1, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-xe-may-ab-doi-2013-bien-so-q1-gia-20tr-id68777024,Honda,2013.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Đỏ,Air Blade,0-20km
696,Thanh lý xe yamaha sirius biển số 59-L1,10000000,"Quận 10, TP.HCM",https://muaban.net/xe-may/ban-xe-may/thanh-ly-xe-yamaha-sirius-bien-so-59-l1-id68762353,Yamaha,2013.0,Đã sử dụng,Xe số,101 - 175 cc,Việt nam,Đen,Sirius,0-66.246km
697,Cho thuê xe máy giá rẻ tại tphcm,50000,"Quận 3, TP.HCM",https://muaban.net/xe-may/cho-thue-xe-may/cho-thue-xe-may-gia-re-tai-tphcm-id68766719,-,-,-,-,-,-,-,-,0
698,Bán xe  Lead 2011 màu Đỏ và đời 2009,11000000,"Quận 10, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-xe-lead-2011-mau-do-va-doi-2009-id68771361,Honda,-,Đã sử dụng,Tay ga,-,-,-,Lead,0
699,Yamaha Exiter màu đen khỏe chất xe mới sử dụng,7000000,"Quận Thanh Xuân, Hà Nội",https://muaban.net/xe-may/ban-xe-may/yamaha-exiter-mau-den-khoe-chat-xe-moi-su-dung-id68760584,Yamaha,2016.0,Mới,Tay côn/Moto,101 - 175 cc,Việt nam,Đen,Exciter,0
700,Thuê xe máy sài gòn - giao xe tận nơi,90000,"Quận 1, TP.HCM",https://muaban.net/xe-may/cho-thue-xe-may/thue-xe-may-sai-gon-giao-xe-tan-noi-id68766665,-,-,-,-,-,-,-,-,0
701,Sang nhượng toàn bộ cửa hàng sửa chữa xe máy,0,"Quận Long Biên, Hà Nội",https://muaban.net/xe-may/sua-chua-xe-may/sang-nhuong-toan-bo-cua-hang-sua-chua-xe-may-id68758179,-,-,-,-,-,-,-,-,0
702,Bán xe Honda Lead biển số Q1 (9 nút),10000000,"TP. Thủ Đức - Quận Thủ Đức, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-xe-honda-lead-bien-so-q1-9-nut-id68758927,Honda,2010.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Hoàng kim,Lead,0-50km
703,Thanh Lý Suzuki XIPO 120 Nhập Khẩu Giá rẺ,29000000,"Huyện Hóc Môn, TP.HCM",https://muaban.net/xe-may/ban-xe-may/thanh-ly-suzuki-xipo-120-nhap-khau-gia-re-id68725277,Suzuki,2023.0,Mới,Xe số,101 - 175 cc,Nước khác,Đỏ,RGV,0
704,Chuyên Bán Sh Nhập Giá Rẻ Nhất Thị Trường,28000000,"Quận Bình Tân, TP.HCM",https://muaban.net/xe-may/ban-xe-may/chuyen-ban-sh-nhap-gia-re-nhat-thi-truong-id68758191,Honda,2022.0,Mới,Tay ga,101 - 175 cc,Việt nam,Trắng,SH,0
705,"Bán xe sh 150 biển số thành phố, chính chủ xem xe quận Bình Thạnh",79000000,"Quận Bình Thạnh, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-xe-sh-150-bien-so-thanh-pho-chinh-chu-xem-xe-quan-binh-thanh-id68757653,Honda,2020.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Ghi/Xám,SH,0-40km
706,Cần bán Siêu Phầm SH Việt 150 ABS 12-2022 chạy chuẩn 1300km- Biển Vip,106800000,"Quận Đống Đa, Hà Nội",https://muaban.net/xe-may/ban-xe-may/can-ban-sieu-pham-sh-viet-150-abs-12-2022-chay-chuan-1300km-bien-vip-id68764878,Honda,2022.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Trắng,SH,0-1.3km
707,Sh mode hàng mới nguyên rin.  ,23000000,"Quận 7, TP.HCM",https://muaban.net/xe-may/ban-xe-may/sh-mode-hang-moi-nguyen-rin-id68768451,Honda,2022.0,Mới,Tay ga,-,-,Bạc,-,0
708,Cần bán SH Việt 125 CBS 2017 cực chất- Biển Vip Thần Tài Nhỏ,69500000,"Quận Đống Đa, Hà Nội",https://muaban.net/xe-may/ban-xe-may/can-ban-sh-viet-125-cbs-2017-cuc-chat-bien-vip-than-tai-nho-id68765038,Honda,2017.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Bạc,SH,0-10km
709,"Tôi cần bán 1 xe máy honda Lead, Hãng honda sản xuất",10500000,"Quận Hai Bà Trưng, Hà Nội",https://muaban.net/xe-may/ban-xe-may/toi-can-ban-1-xe-may-honda-lead-hang-honda-san-xuat-id68768287,Honda,-,Đã sử dụng,Tay ga,-,-,-,Lead,0
710,Xe vespa sprint S 2019. Mới 95%,65000000,"Huyện Nhà Bè, TP.HCM",https://muaban.net/xe-may/ban-xe-may/xe-vespa-sprint-s-2019-moi-95-id68756866,Piaggio,2019.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Ghi/Xám,Vespa,0-26km
711,SUZUKI EN150 MÀU XANH 2021 CHÍNH CHỦ CẦN BÁN,18500000,"Quận Nam Từ Liêm, Hà Nội",https://muaban.net/xe-may/ban-xe-may/suzuki-en150-mau-xanh-2021-chinh-chu-can-ban-id68731739,Suzuki,2021.0,Đã sử dụng,Tay côn/Moto,101 - 175 cc,Thái Lan,Xanh lá,-,0-5km
712,Yamaha NVX 155 Phanh ABS Xanh Đen Sần 222 Odo Lướt,24600000,"Quận Nam Từ Liêm, Hà Nội",https://muaban.net/xe-may/ban-xe-may/yamaha-nvx-155-phanh-abs-xanh-den-san-222-odo-luot-id68744341,Yamaha,2021.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Xanh đen,NVX,0-2.399km
713,Gia đình bán xe Vespa LX 125ie màu cam mới 85%,16500000,"Quận Thanh Xuân, Hà Nội",https://muaban.net/xe-may/ban-xe-may/gia-dinh-ban-xe-vespa-lx-125ie-mau-cam-moi-85-id68756647,Piaggio,2010.0,Đã sử dụng,Tay ga,101 - 175 cc,Nước khác,Cam,Vespa,0-3.55km
714,Em cần bán xe Piaggio Liberty 2014 nhập,11900000,"TP. Thủ Đức - Quận 9, TP.HCM",https://muaban.net/xe-may/ban-xe-may/em-can-ban-xe-piaggio-liberty-2014-nhap-id68769180,Piaggio,2014.0,Đã sử dụng,Tay ga,101 - 175 cc,-,Trắng,Liberty,0-33.333km
715," SH 150/2013, trắng, biển số thành phố chính chủ ",59000000,"Quận 11, TP.HCM",https://muaban.net/xe-may/ban-xe-may/sh-150-2013-trang-bien-so-thanh-pho-chinh-chu-id68772670,Honda,-,Đã sử dụng,Tay ga,-,-,-,-,0
716,"Mới về SH 125 /2019 xám bạc, smartkey CBS mới",78000000,"Quận 11, TP.HCM",https://muaban.net/xe-may/ban-xe-may/moi-ve-sh-125-2019-xam-bac-smartkey-cbs-moi-id68755248,Honda,-,Đã sử dụng,Tay ga,-,-,-,-,0
717,Wave alpha 50cc không cần bằng lái màu đỏ,5800000,"Quận Bình Tân, TP.HCM",https://muaban.net/xe-may/ban-xe-may/wave-alpha-50cc-khong-can-bang-lai-mau-do-id68750113,Honda,2009.0,Đã sử dụng,Xe số,50 - 100 cc,Hàn Quốc,Đỏ,Wave,0-2.222km
718,"Wave 50cc dành cho học sinh chưa có bằng lái, máy chạy êm ái, lợi xăng",6800000,"Quận Tân Phú, TP.HCM",https://muaban.net/xe-may/ban-xe-may/wave-50cc-danh-cho-hoc-sinh-chua-co-bang-lai-may-chay-em-ai-loi-xang-id68689784,Honda,2011.0,Đã sử dụng,Xe số,50 - 100 cc,Hàn Quốc,Xanh dương,Wave,0-15km
719,"Bán SH Việt 125 chính chủ, đăng ký 2013",55000000,"Quận Cầu Giấy, Hà Nội",https://muaban.net/xe-may/ban-xe-may/ban-sh-viet-125-chinh-chu-dang-ky-2013-id68755111,Honda,2013.0,Đã sử dụng,Tay ga,-,-,Đen,SH,0
720,Sirius 2001 - Xe Bs Tphcm  Sơn zin máy zin ,10800000,"Quận Phú Nhuận, TP.HCM",https://muaban.net/xe-may/ban-xe-may/sirius-2001-xe-bs-tphcm-son-zin-may-zin-id68755313,Yamaha,2003.0,Đã sử dụng,Xe số,50 - 100 cc,-,Xanh da trời,Sirius,0-42.356km
721,"Bán xe AB màu đen chính chủ, cà vẹt tphcm",25000000,"Quận Gò Vấp, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-xe-ab-mau-den-chinh-chu-ca-vet-tphcm-id68763987,Honda,2016.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Đen,Air Blade,0-57km
722,Z1000 DK2017 MÁY MÓC ZIN 9 CHỦ BÁN XE KENG ĐẸP 245,239000000,"Quận Tân Bình, TP.HCM",https://muaban.net/xe-may/ban-xe-may/z1000-dk2017-may-moc-zin-9-chu-ban-xe-keng-dep-245-id68719066,Kawasaki,2017.0,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nhật Bản,Đỏ,Kawasaki,0-17km
723,Xe winer v1 đk 2018 mới 99% máy zin ,18500000,"Quận Nam Từ Liêm, Hà Nội",https://muaban.net/xe-may/ban-xe-may/xe-winer-v1-dk-2018-moi-99-may-zin-id68698166,Honda,-,Đã sử dụng,Tay côn/Moto,-,-,Đen,Win,0-8km
724,"Vision 110 Fi chính chủ nữ sử dụng, 2014",13800000,"Quận Nam Từ Liêm, Hà Nội",https://muaban.net/xe-may/ban-xe-may/vision-110-fi-chinh-chu-nu-su-dung-2014-id68763153,Honda,2014.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Nâu,Vision,0-1km
725,Bán trả góp Air Blade 2014 trả trước 8tr lấy xe ngay,22500000,"Quận Bình Thạnh, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-tra-gop-air-blade-2014-tra-truoc-8tr-lay-xe-ngay-id68761711,Honda,2014.0,Đã sử dụng,Tay ga,101 - 175 cc,-,Ghi/Xám,Air Blade,0-20km
726,Xe winer x Abs đk 2021 mới 99%,25800000,"Quận Nam Từ Liêm, Hà Nội",https://muaban.net/xe-may/ban-xe-may/xe-winer-x-abs-dk-2021-moi-99-id68698185,Honda,-,Đã sử dụng,Tay côn/Moto,-,-,Đen,Win,0-5km
727,Sỉ Lẻ Dàn Áo Xe Wave dream Future neo Tại Bình Tân ,500000,"Quận Bình Tân, TP.HCM",https://muaban.net/xe-may/phu-tung-xe-may/si-le-dan-ao-xe-wave-dream-future-neo-tai-binh-tan-id68759244,-,-,-,-,-,-,-,-,0
728,"Mới về Vision 2022, smartkey thông minh, ken lắm, đen nhám ",34000000,"Quận 11, TP.HCM",https://muaban.net/xe-may/ban-xe-may/moi-ve-vision-2022-smartkey-thong-minh-ken-lam-den-nham-id68771947,Honda,-,Đã sử dụng,Tay ga,-,-,-,-,0
729,CẦN BÁN XE MÁY HONDA SHMODE ĐỜI 2022,23000000,"Quận 5, TP.HCM",https://muaban.net/xe-may/ban-xe-may/can-ban-xe-may-honda-shmode-doi-2022-id68710925,Honda,-,Mới,Tay ga,101 - 175 cc,Nước khác,Xanh dương,SH Mode,0
730,Bán xe Sh việt 125 cbs mới đi được 13020 km xe chính chủ,78000000,"Quận Long Biên, Hà Nội",https://muaban.net/xe-may/ban-xe-may/ban-xe-sh-viet-125-cbs-moi-di-duoc-13020-km-xe-chinh-chu-id68754235,Honda,2019.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Đen,SHi,0-13.02km
731,"Sh 150i ABS, đk 7/2017. Bstp chính chủ.",73000000,"Quận Gò Vấp, TP.HCM",https://muaban.net/xe-may/ban-xe-may/sh-150i-abs-dk-7-2017-bstp-chinh-chu-id68760050,Honda,2017.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Đen,SH,0-23km
732,Các Loại Đèn Led cho xe máy ( Giá sỉ ),75000,"Quận 1, TP.HCM",https://muaban.net/xe-may/phu-tung-xe-may/cac-loai-den-led-cho-xe-may-gia-si-id68753171,-,-,-,-,-,-,-,-,0
733,Bán xe máy Wave RSX - Tại Hải Dương,9000000,"Huyện Bình Giang, Hải Dương",https://muaban.net/xe-may/ban-xe-may/ban-xe-may-wave-rsx-tai-hai-duong-id68753124,Honda,2009.0,Đã sử dụng,Xe số,50 - 100 cc,-,Trắng,Wave,0
734,Cần thanh lý xe Sh 150i đời 2019 nhập khẩu hải quan,30000000,"TP. Thủ Đức - Quận 9, TP.HCM",https://muaban.net/xe-may/ban-xe-may/can-thanh-ly-xe-sh-150i-doi-2019-nhap-khau-hai-quan-id68752716,Honda,2022.0,Mới,Tay ga,101 - 175 cc,Nước khác,Đen,SH,0
735,Cần bán SH Việt 150 CBS 2023 Màu Đen Mới Đét Cực Đẹp- Biển Vip,94600000,"Quận Đống Đa, Hà Nội",https://muaban.net/xe-may/ban-xe-may/can-ban-sh-viet-150-cbs-2023-mau-den-moi-det-cuc-dep-bien-vip-id68739003,Honda,2023.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Đen,SH,0-1km
736,Cần bán SH Việt 125 CBS 2023 màu trắng siêu mới - quá đẹp ,81600000,"Quận Đống Đa, Hà Nội",https://muaban.net/xe-may/ban-xe-may/can-ban-sh-viet-125-cbs-2023-mau-trang-sieu-moi-qua-dep-id68722093,Honda,2023.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Trắng,SH,0-600km
737,Cần thanh lý xe Vespa Sprint nhập khẩu ,27000000,"TP. Thủ Đức - Quận 9, TP.HCM",https://muaban.net/xe-may/ban-xe-may/can-thanh-ly-xe-vespa-sprint-nhap-khau-id68752783,Piaggio,2022.0,Mới,Tay ga,101 - 175 cc,Nước khác,Ghi/Xám,Vespa,0
738,Thanh ly xe SH150 còn jean mới 80%,52000000,"Quận 7, TP.HCM",https://muaban.net/xe-may/ban-xe-may/thanh-ly-xe-sh150-con-jean-moi-80-id68752956,Honda,2013.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Trắng,SH,0
739,"Bán xe Vision 2014 chính chủ, màu đen",15500000,"Quận 10, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-xe-vision-2014-chinh-chu-mau-den-id68763141,Honda,-,Đã sử dụng,Tay ga,-,-,-,Vision,0
740,Bán trả góp Vision 2022 trả trước 12tr lấy xe ngay,31000000,"Quận Bình Thạnh, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-tra-gop-vision-2022-tra-truoc-12tr-lay-xe-ngay-id68758915,Honda,2022.0,Đã sử dụng,Tay ga,101 - 175 cc,-,Xanh đen,Vision,0-2km
741,"Bán xe Lead 2007, màu xanh, chính chủ",7500000,"Quận 10, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-xe-lead-2007-mau-xanh-chinh-chu-id68763156,Honda,-,Đã sử dụng,Tay ga,-,-,-,Lead,0
742,🍭Chuyên Bán Các Dòng Xe Honda Vario Các Loại 🍓,16000000,"Quận 6, TP.HCM",https://muaban.net/xe-may/ban-xe-may/chuyen-ban-cac-dong-xe-honda-vario-cac-loai-id68750917,Honda,2022.0,Mới,Tay ga,101 - 175 cc,Nước khác,Đỏ,Vario,0
743,Sirius 110 đợi 2017 xe máy zin,9500000,"Huyện Long Điền, Bà Rịa - Vũng Tàu",https://muaban.net/xe-may/ban-xe-may/sirius-110-doi-2017-xe-may-zin-id68751115,Yamaha,2017.0,Đã sử dụng,Xe số,101 - 175 cc,Nước khác,Đỏ,Sirius,0-67km
744,Ít đi nên cần bán lại cho ae cần dùng,36000000,"Thị xã Tân Uyên, Bình Dương",https://muaban.net/xe-may/ban-xe-may/it-di-nen-can-ban-lai-cho-ae-can-dung-id68751045,Suzuki,2020.0,Đã sử dụng,Tay côn/Moto,101 - 175 cc,Nước khác,Đỏ,Satria,0-15km
745,Cần bán Dream Thái chính chủ giá 25.5 triệu TL,25500000,"Quận Phú Nhuận, TP.HCM",https://muaban.net/xe-may/ban-xe-may/can-ban-dream-thai-chinh-chu-gia-25-5-trieu-tl-id68761233,Honda,-,Đã sử dụng,Xe số,-,-,Nâu,Dream,0
746,Cần bán gấp xe SH ý 150i màu bạc ,125000000,"TP. Thủ Đức - Quận 9, TP.HCM",https://muaban.net/xe-may/ban-xe-may/can-ban-gap-xe-sh-y-150i-mau-bac-id68751122,Honda,2009.0,Đã sử dụng,Tay ga,101 - 175 cc,Nước khác,Bạc,SH,0-64km
747,"SH 125 mẫu Ý 2011 siêu Vip , xe nhà giá tốt cho anh em 1 xe duy nhất",89000000,"TP. Thủ Đức - Quận Thủ Đức, TP.HCM",https://muaban.net/xe-may/ban-xe-may/sh-125-mau-y-2011-sieu-vip-xe-nha-gia-tot-cho-anh-em-1-xe-duy-nhat-id68734349,Honda,2011.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Trắng,SH,0-50km
748,Ra đi exciter 135cc dọn 57zz đèn led ,11500000,"TP. Thủ Đức - Quận Thủ Đức, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ra-di-exciter-135cc-don-57zz-den-led-id68750512,Yamaha,2012.0,Đã sử dụng,Tay côn/Moto,-,-,-,Exciter,0
749,Mua bán xe cũ tận nhà giá tốt nhất thị trường ,0,"Quận 10, TP.HCM",https://muaban.net/xe-may/mua-xe-may/mua-ban-xe-cu-tan-nha-gia-tot-nhat-thi-truong-id68690781,-,-,-,-,-,-,-,-,0
750,SH Mode 2018 1 đời chủ nữ chạy ,44000000,"TP. Thủ Đức - Quận Thủ Đức, TP.HCM",https://muaban.net/xe-may/ban-xe-may/sh-mode-2018-1-doi-chu-nu-chay-id68764171,Honda,2018.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Trắng,SH Mode,0-14km
751,Exciter 2009 57FI bstp 9c full new lên 2010 1 tới 3 lùi,57800000,"Quận Tân Phú, TP.HCM",https://muaban.net/xe-may/ban-xe-may/exciter-2009-57fi-bstp-9c-full-new-len-2010-1-toi-3-lui-id68749692,Yamaha,2009.0,Đã sử dụng,Tay côn/Moto,101 - 175 cc,-,Đen,Exciter,0
752,Cần bán honda airblade đk 2015 màu đỏ đen xe đẹp máy êm,18500000,"Quận Bình Tân, TP.HCM",https://muaban.net/xe-may/ban-xe-may/can-ban-honda-airblade-dk-2015-mau-do-den-xe-dep-may-em-id68741661,Honda,2015.0,Đã sử dụng,Tay ga,101 - 175 cc,Nhật Bản,Đỏ,Air Blade,0
753,Cần bán xe wave 110cc màu trắng xe đẹp máy êm,5500000,"Quận Bình Tân, TP.HCM",https://muaban.net/xe-may/ban-xe-may/can-ban-xe-wave-110cc-mau-trang-xe-dep-may-em-id68739648,Honda,2009.0,Đã sử dụng,Xe số,101 - 175 cc,Hàn Quốc,Trắng,Wave,0-9.999km
754,"Bán xe PCX 150, màu Bạc mờ, 1 đòi chủ, giá 68tr",68000000,"Quận Tân Bình, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-xe-pcx-150-mau-bac-mo-1-doi-chu-gia-68tr-id68725788,Honda,2018.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Bạc,PCX,0-14.33km
755,Bán xe Vespa PX150E Một đời chủ 1997,85000000,"Quận Tân Bình, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-xe-vespa-px150e-mot-doi-chu-1997-id68750263,Piaggio,-,Đã sử dụng,Xe số,101 - 175 cc,Nước khác,Xanh lá,Vespa,0-49km
756,Bán xe honda sh 125cc đk 2015 bs thành phố chính chủ kí giấy liền,50700000,"Quận Bình Tân, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-xe-honda-sh-125cc-dk-2015-bs-thanh-pho-chinh-chu-ki-giay-lien-id68688167,Honda,2015.0,Đã sử dụng,Tay ga,101 - 175 cc,Nhật Bản,Ghi/Xám,SH,0-9.999km
757,Bán xe SH350i lướt 99% màu đen nhám 2022,127000000,"Quận 7, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-xe-sh350i-luot-99-mau-den-nham-2022-id68750352,Honda,2022.0,Đã sử dụng,Tay ga,Trên 175 cc,Việt nam,Đen,SH,0
758,Bán honda wave 110cc biển thành phố xe đẹp nguyên zin,9500000,"Quận Bình Tân, TP.HCM",https://muaban.net/xe-may/ban-xe-may/ban-honda-wave-110cc-bien-thanh-pho-xe-dep-nguyen-zin-id68745129,Honda,2009.0,Đã sử dụng,Xe số,101 - 175 cc,Nhật Bản,Đỏ,Wave,0-9.999km
759,Honda Winner V1 2019 chính chủ đẹp long lanh chạy rất ngon ,17500000,"Quận Nam Từ Liêm, Hà Nội",https://muaban.net/xe-may/ban-xe-may/honda-winner-v1-2019-chinh-chu-dep-long-lanh-chay-rat-ngon-id68314078,Honda,2020.0,Đã sử dụng,Tay côn/Moto,101 - 175 cc,Việt nam,Ghi/Xám,-,0-5km
760,Honda Wave A100 2016 nguyên bản chính chủ chạy căng đét ,9500000,"Quận Nam Từ Liêm, Hà Nội",https://muaban.net/xe-may/ban-xe-may/honda-wave-a100-2016-nguyen-ban-chinh-chu-chay-cang-det-id68320260,Honda,2016.0,Đã sử dụng,Xe số,-,Việt nam,Xanh dương,Wave,0-5km
761,Honda Airblade 125-2021 mới 99% 1 chủ sử dụng từ đầu nên yên tâm ,30800000,"Quận Nam Từ Liêm, Hà Nội",https://muaban.net/xe-may/ban-xe-may/honda-airblade-125-2021-moi-99-1-chu-su-dung-tu-dau-nen-yen-tam-id68312428,Honda,2021.0,Đã sử dụng,Tay ga,101 - 175 cc,Việt nam,Trắng,Air Blade,0-2km
762,Honda Wave RSX 110 2015 nguyên bản chính chủ chạy căng đét ,8800000,"Quận Nam Từ Liêm, Hà Nội",https://muaban.net/xe-may/ban-xe-may/honda-wave-rsx-110-2015-nguyen-ban-chinh-chu-chay-cang-det-id68312824,Honda,2015.0,Đã sử dụng,Xe số,50 - 100 cc,Việt nam,-,Wave,0-20km
763,Honda Winner X150-2021 chính chủ sinh viên ra trường cần bán ,24800000,"Quận Nam Từ Liêm, Hà Nội",https://muaban.net/xe-may/ban-xe-may/honda-winner-x150-2021-chinh-chu-sinh-vien-ra-truong-can-ban-id68314053,Honda,2021.0,Đã sử dụng,Tay côn/Moto,101 - 175 cc,Việt nam,Xanh dương,Win,0-3km
